{920 elems.} [00608.041 ms; 0 err.] linearSearch
{920 elems.} [00229.589 ms; 0 err.] binarySearch
{930 elems.} [00595.320 ms; 0 err.] linearSearch
{930 elems.} [00215.325 ms; 0 err.] binarySearch
{940 elems.} [00615.667 ms; 0 err.] linearSearch
{940 elems.} [00207.826 ms; 0 err.] binarySearch
{950 elems.} [00603.170 ms; 0 err.] linearSearch
{950 elems.} [00218.458 ms; 0 err.] binarySearch
{960 elems.} [00623.602 ms; 0 err.] linearSearch
{960 elems.} [00211.820 ms; 0 err.] binarySearch
{970 elems.} [00623.283 ms; 0 err.] linearSearch
{970 elems.} [00224.204 ms; 0 err.] binarySearch
{980 elems.} [00617.187 ms; 0 err.] linearSearch
{980 elems.} [00215.652 ms; 0 err.] binarySearch
{990 elems.} [00623.577 ms; 0 err.] linearSearch
{990 elems.} [00226.073 ms; 0 err.] binarySearch
{1000 elems.} [00632.765 ms; 0 err.] linearSearch
{1000 elems.} [00222.392 ms; 0 err.] binarySearch
